"date","raisin","simone","gagne","std"
2018-08-12,19.75,10.875,10.625,NA
2018-08-19,20.1875,11.125,10.75,20.9875
2018-08-22,20.25,11.25,10.8125,20.975
2018-08-24,19.8125,11.25,11.0625,20.975
2018-08-27,19.375,10.5,10.375,20.975
2018-08-28,NA,NA,NA,NA
2018-08-29,19.375,11,11.0625,20.975
2018-08-30,NA,NA,NA,NA
2018-08-31,19.5625,11,10.75,20.975
2018-09-01,NA,NA,NA,NA
2018-09-02,19.625,10.8125,10.625,20.975
2018-09-03,19.5,10.9375,10.8125,20.975
2018-09-04,19.5625,11,10.9375,20.975
2018-09-05,19.5,11.125,11,20.975
2018-09-06,19.4375,11,10.6875,20.975
2018-09-07,19.375,11.0625,11.125,20.975
2018-09-08,19.4375,11.25,10.9375,20.975
2018-09-09,19.5,11.125,10.8125,20.975
2018-09-10,19.4375,11.125,10.8125,20.975
2018-09-11,19.5,10.9375,11,20.975
2018-09-12,19.5,11.0625,11,20.975
2018-09-13,19.4375,11.1875,11,20.975
2018-09-14,19.625,11.0625,11.0625,20.975
2018-09-15,19.5,NA,NA,20.975
2018-09-16,19.5625,11,11.0625,20.975
2018-10-01,19,10.25,10.25,NA
2018-10-02,19.375,11,10.75,20.975
2018-10-03,19,10.625,10.1875,20.975
2018-10-04,18.9375,10.5625,10.25,20.975
2018-10-09,19.625,10.625,10.6875,20.975
2018-10-10,19.125,10.6875,10.6875,20.975
2018-10-11,19.125,10.6875,10.5625,20.975
2018-10-12,19.0625,10.625,10.6875,20.975
2018-10-13,19.3125,10.5625,10.6875,20.975
2018-10-14,19.0625,10.5625,10.6875,20.975
2018-10-15,19.25,NA,NA,NA
2018-10-16,18.8125,10.6875,10.6875,20.975
2018-10-17,18.9375,10.8125,10.8125,20.975
2018-10-18,18.875,10.75,10.8125,20.975
2018-10-22,18.625,10.25,10.3125,NA
2018-10-23,18.5,10.5,10.5,20.975
2018-10-24,18.4375,10.75,10.5625,20.975
2018-10-25,18.4375,10.5,10.5625,NA
2018-10-26,18.5,10.5,10.6875,NA
2018-10-27,18.625,10.5625,10.75,NA
2018-10-28,18.375,10.5625,10.75,NA
2018-10-29,18.5625,10.5,10.625,NA
2018-10-30,18.5,10.5625,10.625,NA
2018-10-31,18.4375,10.625,10.75,20.975
2018-11-01,18.4375,10.5,10.6875,NA
2018-11-02,18.375,10.375,10.5625,NA
2018-11-04,18.6875,10.6875,10.8125,NA
2018-11-05,18.4375,10.5,10.6875,NA
2018-11-06,18.4375,10.5,10.75,20.975
2018-11-18,19.4375,NA,NA,NA
2018-11-19,19,10.4375,10.875,NA
2018-11-20,18.5625,10.4375,10.5625,NA
2018-11-21,18.4375,10.5,10.6875,NA
2018-11-22,18.5,10.3125,10.6875,NA
2018-11-23,18.4375,10.25,10.5,NA
2018-11-29,18.3125,10.5,10.625,NA
2018-12-01,18.25,10.375,10.4375,NA
2018-12-04,18.4375,10.375,10.625,NA
2018-12-05,18.25,10.4375,10.75,NA
2018-12-06,18.1875,10.5,10.6875,NA
2018-12-08,18.25,10.6875,10.875,NA
2018-12-09,18.1875,10.5,10.8125,NA
2018-12-10,18.125,NA,NA,NA
2018-12-11,18.25,10.625,10.875,NA
2018-12-17,17.9375,10.125,10.375,NA
2018-12-18,17.875,10.125,10.6875,NA
2019-01-08,17.9375,10,10.3125,NA
2019-01-10,17.8125,10.125,10.375,NA
2019-01-14,17.875,9.9375,10.3125,NA
2019-01-17,17.8125,10.375,10.375,20.9625
2019-01-19,17.75,10.125,10.375,NA
